2017/02/20 02:15:11 Бот dimonchik0036_bot запущен.
2017/02/20 02:23:02 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16211_1
2017/02/20 02:23:03 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16211_1
2017/02/20 02:23:03 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16211_1
2017/02/20 02:23:04 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16211_1
2017/02/20 02:23:05 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16211_1
2017/02/20 02:23:05 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16211_1
2017/02/20 02:23:06 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16211_1
2017/02/20 02:23:07 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16211_1
2017/02/20 02:23:07 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16211_1
2017/02/20 02:23:08 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16211_1
2017/02/20 02:23:08 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16211_1
2017/02/20 02:23:09 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16211_1
2017/02/20 02:23:10 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16211_1
2017/02/20 02:23:10 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16211_1
2017/02/20 02:23:11 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16211_1
2017/02/20 02:23:11 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16211_1
2017/02/20 02:23:12 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16211_1
2017/02/20 02:23:13 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16211_1
2017/02/20 02:23:13 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16211_1
2017/02/20 02:23:14 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16211_1
2017/02/20 02:24:20 [227605930] Dmitry Gridin (@Dimonchik0036): /weather
2017/02/20 02:25:42 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16352_1
2017/02/20 02:25:43 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16352_1
2017/02/20 02:25:45 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16352_1
2017/02/20 02:25:45 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16352_1
2017/02/20 02:25:46 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16352_1
2017/02/20 02:25:47 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16352_1
2017/02/20 02:25:48 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16352_1
2017/02/20 02:25:49 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16352_1
2017/02/20 02:25:50 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16352_1
2017/02/20 02:25:51 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16352_1
2017/02/20 02:25:51 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16352_1
2017/02/20 02:25:52 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16352_1
2017/02/20 02:25:53 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16352_1
2017/02/20 02:25:54 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16352_1
2017/02/20 02:25:55 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16352_1
2017/02/20 02:25:55 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16352_1
2017/02/20 02:27:19 [227605930] Dmitry Gridin (@Dimonchik0036): /weather
2017/02/20 02:27:30 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16352_1
2017/02/20 02:28:52 [227605930] Dmitry Gridin (@Dimonchik0036): /weather
2017/02/20 02:36:27 [227605930] Dmitry Gridin (@Dimonchik0036): /weather
2017/02/20 02:36:38 [227605930] Dmitry Gridin (@Dimonchik0036): /sendmelog data
2017/02/20 07:35:10 [227605930] Dmitry Gridin (@Dimonchik0036): /weather
2017/02/20 07:35:32 [227605930] Dmitry Gridin (@Dimonchik0036): /sendmelog data
2017/02/20 07:36:09 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16211_1
2017/02/20 08:09:26 [227605930] Dmitry Gridin (@Dimonchik0036): /сегодня 16211_1
